Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Fusebit,1/21/2021,"$3,300,000",,Seed,Four Rivers Group,https://www.geekwire.com/2021/microsoft-apple-auth0-vets-raise-3-3m-seattle-software-integration-startup-fusebit/
Conversa,1/19/2021,"$8,000,000","$34,000,000",B,,https://www.geekwire.com/2021/portland-telehealth-startup-conversa-raises-8m/
StackPulse,1/19/2021,"$20,000,000","$28,000,000",A,GGV Ventures,https://www.geekwire.com/2021/security-cloud-vets-raise-20m-incident-response-automation-startup-stackpulse/
Armoire,1/15/2021,"$3,500,000","$12,000,000",,,https://www.geekwire.com/2021/clothing-rental-service-armoire-adapts-pandemic-raises-cash-microsoft-ceo-satya-nadella/
Gemma Labs,1/15/2021,"$2,750,000","$6,250,000",,PSL Ventures,https://www.geekwire.com/2021/seattle-shampoo-startup-gemma-labs-raises-2-75m-grow-custom-haircare-kit-service/
Secure,1/13/2021,"$3,500,000",,Seed,SeaChange Fund,https://www.geekwire.com/2021/seattle-fintech-startup-secure-helps-enable-emergency-savings-accounts-raises-3-5m/
Opticyte,1/11/2021,"$1,700,000",,Seed," SWAN Venture Fund II, StarFish Medical",https://www.geekwire.com/2021/uw-spinout-opticyte-lands-4-6m-test-device-quickly-detects-early-signs-organ-failure/
AskNicely,1/10/2021,"$32,000,000",,B,Five Elms Capital,https://www.geekwire.com/2022/asknicely-lands-32m-for-customer-experience-software/
Omnivor,1/5/2021,"$2,700,000","$5,500,000",Seed,Sway Ventures,https://www.geekwire.com/2021/omnivor-raises-2-7m-pandemic-spurs-interest-holographic-media-nike-t-mobile-others/
Kymeta,12/29/2020,"$30,000,000",,,Hanwha Systems,https://www.geekwire.com/2020/korean-tech-conglomerate-invest-30m-gates-backed-kymeta-antenna-venture/
Pure Watercraft,12/17/2020,"$14,100,000","$37,500,000",A,L37 Ventures,https://www.geekwire.com/2020/seattles-pure-watercraft-raises-additional-14m-power-plans-electric-boat-motors/
Beta Hatch,12/11/2020,"$9,300,000","$18,600,000",A,Cavallo Ventures,https://www.geekwire.com/2020/beta-hatch-raises-9-3m-startup-builds-facility-east-seattle-scale-insect-growing-operation/
Koan,12/10/2020,"$1,000,000","$4,000,000",,BMNT,https://www.geekwire.com/2020/koan-raises-1m-okr-collaboration-software-platform-acquires-portland-design-studio/
Voodle,12/9/2020,"$6,000,000",,Seed,"Madrona Venture Group, Vulcan Capital",https://www.geekwire.com/2020/workplace-video-communication-app-voodle-raises-6m-combat-zoom-fatigue-slack-overload/
Pienza,12/8/2020,"$5,100,000",,," MHS Capital, Version One Ventures, Vulcan Capital",https://www.geekwire.com/2020/bizible-founder-aaron-bird-raises-5-1m-new-seattle-b2b-startup-studio-pienza/
Freespira,12/8/2020,"$10,000,000",,,Lightspeed Venture Partners,https://www.geekwire.com/2020/freespira-raises-10m-tech-platform-aims-ease-panic-attacks-ptsd/
iUNU,12/7/2020,"$7,000,000","$25,000,000",A,"S2G Ventures, Ceres Partners",https://www.geekwire.com/2020/agriculture-tech-startup-iunu-raises-7m-greenhouse-computer-vision-system/
Picovoice,12/7/2020,"$500,000","$500,000",Seed,Founders' Co-Op,https://www.geekwire.com/2020/ex-amazon-engineer-raises-500k-grow-voice-tech-platform-used-whirlpool-lg-others/
DomainTools,12/3/2020,,,,Battery Ventures,https://www.geekwire.com/2020/battery-ventures-makes-majority-investment-seattle-enterprise-security-startup-domaintools/
ZeroWall,12/2/2020,"$2,000,000",,Seed,Susa,https://www.geekwire.com/2020/former-sumo-logic-auth0-exec-raises-2m-stealthy-new-security-startup-zerowall/
CoreStack,12/2/2020,"$4,000,000","$15,500,000",,Iron Pillar,https://www.geekwire.com/2020/corestack-raises-4m-help-companies-manage-cost-compliance-cloud-infrastructure/
Dirty Labs,11/25/2020,"$1,800,000","$4,000,000",Seed,Entree Capital,
Elevāt,11/24/2020,"$9,500,000",,Seed,D4 Investments,https://www.geekwire.com/2020/seattle-area-iot-software-startup-elevat-raises-9-5m-manufacturing-machine-monitoring-tech/
Lightfox Games,11/20/2020,"$3,200,000",,Seed,March Gaming,https://www.geekwire.com/2020/former-z2-employees-raise-3-3m-new-seattle-game-development-studio-lightfox-games/
Joon Care,11/19/2020,"$3,500,000",,,Route 66 Ventures,https://www.geekwire.com/2020/joon-raises-3-5m/
Vimly Benefits Solutions,11/18/2020,"$6,700,000","$12,700,000",A-1,,https://www.geekwire.com/2020/vimly-benefits-solutions-raises-6-7m-help-healthcare-companies-manage-employee-benefits/
Umoja Biopharma,11/18/2020,"$53,000,000",,A," MPM Capital, Qiming Venture Partners USA",https://www.geekwire.com/2020/seattle-biotech-firm-umoja-biopharma-raises-53m-tackles-unique-approach-immunotherapy/
Trovares,11/12/2020,"$1,350,000","$3,850,000",,,https://www.geekwire.com/2020/graph-analytics-startup-trovares-led-ex-cray-ceo-raises-1-35m/
Zipcan,11/11/2020,"$100,000",,Seed,Cascade Seed Fund,https://www.geekwire.com/2020/brandlive-founder-launches-new-startup-embeds-video-chat-websites-apps/
Bumped,11/11/2020,"$11,000,000","$30,000,000",A,Valor Equity Partners,https://www.geekwire.com/2020/30m-round-bumped-launches-app-gives-people-free-stock-spending-brands/
Inipharm,11/11/2020,"$35,000,000",,A,"5AM Ventures, Wu Capital",https://www.businesswire.com/news/home/20201111005234/en/Inipharm-Raises-35-Million-Series-Focus-Highly
MacroHealth,11/5/2020,"$41,000,000",,A,NewSpring Capital,https://techcouver.com/2020/11/05/macrohealth-hiring-in-vancouver/
Concure Oncology,11/3/2020,"$2,000,000","$14,000,000",,,https://www.geekwire.com/2020/concure-oncology-raises-2m-bring-innovative-breast-cancer-radiation-therapy-patients/
LAVLE,11/3/2020,,,,Ocean Zero,https://www.prnewswire.com/news-releases/lavle-receives-funding-from-ocean-zero-llc-to-further-innovation-across-battery-technology-and-energy-storage-sectors-301163761.html
Pulumi,10/28/2020,"$37,500,000","$57,500,000",B,NEA,https://www.geekwire.com/2020/silicon-valley-mainstay-nea-leads-37-5m-investment-seattle-cloud-startup-pulumi/
Neu,10/28/2020,"$700,000","$800,000",Seed,New Stack Ventures,https://www.geekwire.com/2020/pandemic-speed-bump-airbnb-cleaning-startup-neu-bounces-back-raises-700k/
Enviral Tech,10/22/2020,"$1,500,000",,Seed,Rogue Venture Partners,https://www.prnewswire.com/news-releases/enviral-tech-closes-1-5m-funding-round-to-expand-service-for-early-detection-of-covid-19-outbreaks-301157669.html
Niricson,10/20/2020,"$610,000",,Seed,,https://www.niricson.com/post/new-funding-for-start-up-that-uses-drones-to-inspect-aging-infrastructure
JAXJOX,10/13/2020,"$10,000,000","$17,000,000",A,Dowgate Capital Ltd,https://www.geekwire.com/2020/fitness-tech-company-jaxjox-raises-10m-gets-ready-ship-ai-enabled-workout-system/
Skilljar,10/6/2020,"$33,000,000","$50,000,000",B,Insight Partners,https://www.geekwire.com/2020/seattle-startup-skilljar-raises-33m-pandemic-sparks-demand-customer-education-software/
Boost Sport,10/2/2020,"$1,300,000",,Seed,TitletownTech,https://www.geekwire.com/2020/boost-sport-raises-1-3m-help-basketball-teams-win-games-video-analysis-tech/
Scener,10/1/2020,"$2,100,000",,Seed,"SeaChange, Glaser Investments",https://www.geekwire.com/2020/scener-raises-2-1m-viewers-streaming-services-lean-social-television/
Thinkific,9/29/2020,"$22,000,000","$25,000,000",,Rhino Ventures,https://www.geekwire.com/2020/vancouver-based-online-course-education-startup-thinkific-raises-22m/
DeepSurface Security,9/29/2020,"$1,000,000",,Seed,Cascade Seed Fund,https://www.geekwire.com/2020/portland-startup-deepsurface-security-raises-1m-help-companies-assess-vulnerabilities/
Intelage,9/29/2020,"$3,500,000","$5,800,000",Seed,Blumberg Capital,https://www.geekwire.com/2020/global-trade-platform-intelage-raises-3-5m-connect-agricultural-suppliers-buyers-partners/
Olive,9/28/2020,"$1,000,000",,Seed,Active Capital,https://www.geekwire.com/2020/techstars-seattle-grad-vancouver-based-olive-raises-1m-procurement-software/
Immusoft,9/25/2020,"$4,500,000",,,"Ikarian Capital, Mesa Verde Venture Partners, Breakout Ventures",https://www.geekwire.com/2020/seattle-gene-therapy-biotech-startup-immusoft-raises-4-5m/
Attunely,9/24/2020,"$6,000,000","$9,000,000",A,"Framework Venture Partners, Anthos Capital, Vulcan Capital",https://www.geekwire.com/2020/seattle-startup-attunely-raises-6m-help-debt-collection-agencies-collect-payment/
Silverback Therapeutics,9/24/2020,"$85,000,000","$210,000,000",C,EcoR1 Capital,https://www.geekwire.com/2020/seattle-biotech-silverback-therapeutics-raises-85m-just-six-months-raising-78-5m/
Resonance AI,9/22/2020,"$2,280,000","$5,000,000",,,https://www.geekwire.com/2020/seattle-startup-resonance-ai-raises-2-2m-analyze-dialogue-mood-music-video-content/
Polyverse,9/16/2020,"$16,000,000","$21,000,000",A,,https://www.geekwire.com/2020/seattle-area-cybersecurity-startup-polyverse-raises-16m/
Sironix,9/16/2020,"$1,800,000","$6,400,000",Seed,U.S. Dept. of Energy Advanced Manufacturing Office,https://www.geekwire.com/2020/sironix-raises-1-8m-ramp-production-plant-based-eco-friendly-cleaning-chemicals/
Bulletproof 360,9/16/2020,"$13,000,000","$80,000,000",,"Beliv, Rocana Ventures",https://www.geekwire.com/2020/bulletproof-raises-13m-fuel-continued-growth-food-beverage-products/
Optimize.health,9/8/2020,"$15,600,000","$21,000,000",A,U.S. Venture Partners,https://www.geekwire.com/2020/seattle-health-tech-startup-optimize-health-raises-15-6m-remote-patient-monitoring-startup/
ThruWave,9/3/2020,"$6,400,000","$8,600,000",,"E14 Fund, Ubiquity Ventures",https://www.geekwire.com/2020/x-ray-vision-warehouse-thruwave-raises-6-4m-help-retail-companies-see-packages/
Cloudentity,9/3/2020,"$13,000,000","$15,000,000",A,ForgePoint Capital,https://www.geekwire.com/2020/seattle-startup-cloudentity-raises-13m-expand-identity-authorization-tech/
Lumen Bioscience,9/1/2020,"$16,000,000","$68,000,000",B,"WestRiver Management, Bioeconomy Capita",https://www.geekwire.com/2020/seattle-biotech-startup-led-adaptive-fred-hutch-vets-raises-16m-rapid-drug-development-tech/
Cloudshim,8/31/2020,"$120,000",,Pre-seed,Black Lion Ventures,https://www.geekwire.com/2020/former-amazon-microsoft-engineers-raise-120k-seattle-cloud-startup-cloudshim/
KitoTech,8/28/2020,"$3,000,000","$9,500,000",,,https://www.geekwire.com/2020/kitotech-raises-3m-demand-soars-home-no-stitch-wound-closure-kit/
Barn2Door,8/26/2020,"$6,000,000","$11,600,000",A,Bullpen Capital,https://www.geekwire.com/2020/barn2door-raises-6m-demand-rises-software-used-farmers-sell-food-online/
Stratify,8/25/2020,"$4,900,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2020/madrona-leads-4-9m-round-stratify-new-fintech-startup-aims-automate-budgeting/
Prescriptive Health,8/25/2020,"$26,000,000",,A,Morningside Ventures,https://www.geekwire.com/2020/microsoft-cloud-vets-raise-26m-drug-prescription-data-platform-prescryptive-health/
Starform,8/21/2020,"$4,150,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1821486/000182148620000001/xslFormDX01/primary_doc.xml
Panda AI,8/20/2020,"$3,300,000",,,"PSL Ventures, AI2",https://www.geekwire.com/2020/allen-institute-artificial-intelligences-new-fund-makes-first-investment-backing-panda-ai/
Chinook Therapeutics,8/19/2020,"$106,000,000",,,"EcoR1 Capital, OrbiMed",https://www.geekwire.com/2020/chinook-therapeutics-raises-106m-prepares-merge-aduro-biotech/
Reflective,8/18/2020,"$1,300,000",,Seed,Founders' Co-op,https://www.geekwire.com/2020/seattle-startup-vets-raise-1-3m-no-code-workflow-automation-startup-reflective/
Nexme,8/17/2020,"$500,000",,Seed,Mark Montgomery,https://www.geekwire.com/2020/call-seattle-startup-nexmes-toll-free-number-led-seed-round-worth-500k/
Special Project,8/13/2020,"$2,300,000",,,Next Frontier Capital,https://www.geekwire.com/2020/special-project-inc/
HerdDogg,8/13/2020,"$3,160,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1745932/000174593220000001/xslFormDX01/primary_doc.xml
Atomo Coffee,8/11/2020,"$9,000,000","$11,600,000",,"Horizons Ventures, S2G Ventures",https://www.geekwire.com/2020/atomo-coffee-raises-9m-will-build-seattle-roastery-molecular-brew-near-starbucks-hq/
Loge,8/7/2020,"$15,000,000","$19,500,000",," Round House, Brighton Jones, Colfam",https://www.geekwire.com/2020/hospitality-startup-loge-raises-15m-weather-uncertain-times-expand-locations/
GentiBio,8/6/2020,"$20,000,000",,Seed,OrbiMed,https://www.geekwire.com/2020/new-biotech-startup-gentibio-lands-20m-inks-licensing-deals-seattle-childrens-bri/
Ossia,7/30/2020,,"$50,000,000",,Toyoda Gosei,https://www.geekwire.com/2020/seattle-area-startup-ossia-lands-investment-toyota-group-subsidiary-toyoda-gosei/
Polyarc,7/29/2020,"$9,000,000","$12,500,000",B,Hiro Capital,https://www.geekwire.com/2020/bungie-vets-raise-9m-vr-game-studio-polyarc-pursue-augmented-reality-development/
Remitly,7/29/2020,"$85,000,000","$400,000,000",F,PayU,https://www.geekwire.com/2020/another-unicorn-seattle-remitly-raises-85m-1-5b-valuation-meet-demand-digital-remittances/
Edifecs,7/28/2020,,,,"TA Associates, Francisco Partners",https://www.geekwire.com/2020/seattle-area-healthcare-software-company-edifecs-lands-private-equity-investment/
Remmie Health,7/27/2020,"$100,000","$100,000",,Plug and Play Ventures,https://www.geekwire.com/2020/inspired-sons-health-issues-seattle-entrepreneur-launches-home-ear-nose-throat-monitor/
AstrumU,7/27/2020,"$7,800,000","$13,200,000",A,Kingdom Capital,https://www.geekwire.com/2020/education-actually-worth-astrumu-raises-7-6m-help-graduates-employers-find/
iObeya,7/23/2020,"$17,000,000",,,Red River West,https://www.geekwire.com/2020/french-work-collaboration-startup-iobeya-plans-seattle-area-headquarters/
Aō Air,7/20/2020,"$2,100,000",,,Blackbird Ventures,https://www.globenewswire.com/news-release/2020/07/20/2064540/0/en/A%C5%8D-Air-Raises-2-1-Million-to-Deliver-A-New-Generation-of-Respiratory-Protection.html
Qumulo,7/16/2020,"$125,000,000","$351,000,000",E,BlackRock,https://www.geekwire.com/2020/seattles-newest-billion-dollar-startup-qumulo-reaches-unicorn-status-125m-round/
Puppet,7/16/2020,"$40,000,000","$150,000,000",,BlackRock,https://www.geekwire.com/2020/portland-cloud-automation-startup-puppet-raises-40m/
Auth0,7/14/2020,"$120,000,000","$330,000,000",F,Salesforce Ventures,https://www.geekwire.com/2020/salesforce-ventures-leads-120m-round-seattle-area-identification-security-startup-auth0/
Drop-In Gaming,7/13/2020,"$500,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1817109/000181710920000001/xslFormDX01/primary_doc.xml
Joe Coffee,7/9/2020,"$1,300,000","$3,500,000",Seed,Craft Ventures,https://www.geekwire.com/2020/joe-coffee-raises-1-3m-mobile-order-pay-business-booms-indie-shops-pandemic/
LumiThera,7/9/2020,"$14,000,000",,C,WaterStar Capital,https://www.geekwire.com/2020/medical-device-startup-lumithera-raises-14m-develop-treatment-ocular-disorders/
Medcurity,7/8/2020,"$500,000","$1,400,000",Seed,SeaChange,https://www.geekwire.com/2020/health-tech-startup-medcurity-adds-200k-funding-plans-hire-expand-training/
DigniFi,6/30/2020,"$14,000,000",,A,BuildGroup,https://www.geekwire.com/2020/dignifi-tech-platform-financing-auto-repairs-raises-14m-keep-american-drivers-rolling/
Thoughtexchange,6/29/2020,"$10,000,000","$25,000,000",B,"Information Venture Partners, Yaletown Partners, Voyager Capital",https://www.geekwire.com/2020/b-c-startup-thoughtexchange-raises-10m-use-crowdsourcing-platform-soars-pandemic/
HyperSciences,6/23/2020,"$9,000,000","$13,000,000",,,https://www.geekwire.com/2020/hypersciences-pushes-ahead-next-stage-blaster-technology-fundraising/
Sana Biotechnology,6/23/2020,"$700,000,000",,,,https://www.geekwire.com/2020/secretive-seattle-biotech-just-announced-700m-develop-new-ways-modify-genes/
Node,6/18/2020,,,Seed,SoftBank,https://www.geekwire.com/2020/softbank-wework-launch-program-foster-tech-diversity-3-seattle-startups-first-cohort/
Game Jolt,6/18/2020,,,Seed,SoftBank,https://www.geekwire.com/2020/softbank-wework-launch-program-foster-tech-diversity-3-seattle-startups-first-cohort/
Proprio,6/17/2020,"$23,000,000","$30,000,000",A,DCVC,https://www.geekwire.com/2020/next-x-ray-seattle-startup-proprio-raises-23m-build-high-tech-surgical-navigation-system/
Unbounce,6/17/2020,"$38,400,000",,,Crest Rock Partners,https://www.globenewswire.com/news-release/2020/06/17/2049546/0/en/Unbounce-Secures-52-Million-to-Give-Small-Businesses-an-AI-Powered-Edge.html
Dumpling,6/17/2020,"$6,500,000","$10,000,000",,Forerunner Ventures,https://www.geekwire.com/2020/startup-taking-instacart-helping-gig-workers-launch-grocery-delivery-businesses/
DemandStar,6/16/2020,"$2,000,000",,Seed,Version One Ventures,https://www.geekwire.com/2020/vc-firm-just-led-first-investment-without-meeting-founders-person-heres-went/
WiBotic,6/11/2020,"$5,700,000","$9,000,000",A,,https://www.geekwire.com/2020/wibotic-raises-5-7m-boost-wireless-systems-charging-robots-drones/
HeadLight,6/11/2020,"$25,000,000",,B,Viking Global Investors,https://www.geekwire.com/2020/seattle-construction-tech-startup-headlight-raises-25m-grow-photo-based-inspection-software/
DivDot,6/8/2020,"$500,000",,Pre-Seed,"Sprout Fund, WUTIF Capital",https://divdot.com/blog/divdot-oversubscribes-funding-round
Observa,6/5/2020,"$725,000","$2,000,000",,,https://www.geekwire.com/2020/product-placement-sales-analytics-startup-observa-draws-big-name-investors-725k-round/
Athira,6/4/2020,"$85,000,000","$100,000,000",B,Perceptive Advisors,https://www.geekwire.com/2020/seattle-biotech-startup-athira-raises-85m-develop-therapies-alzheimers-parkinsons/
Vacasa,6/2/2020,"$108,000,000","$634,500,000",D,Silver Lake,https://www.geekwire.com/2020/silver-lake-makes-another-travel-bet-leads-108m-investment-vacation-rental-platform-vacasa/
Sonic Incytes,6/1/2020,"$2,600,000","$3,300,000",Seed,Genome BC,https://www.globenewswire.com/news-release/2020/05/28/2040380/0/en/Genome-BC-Invests-1M-in-Breakthrough-Solution-for-Detecting-Chronic-Liver-Disease-Closing-Off-Sonic-Incytes-3-5M-Financing-Round.html
Curatio,5/29/2020,,,A,Rhino Ventures,https://www.curatio.me/latest-news/2020/5/28/curatio-raises-series-a-to-tackle-loneliness-and-isolation-worldwide/
Variant Bio,5/28/2020,"$16,000,000",,A,Lux Capital,https://www.bloomberg.com/news/articles/2020-05-28/variant-bio-aims-to-make-gene-therapies-and-drugs-using-rare-dna
Bright.md,5/27/2020,"$16,700,000","$30,000,000",C,"B Capital, Seven Peaks Ventures, Concord Health Partners",https://www.geekwire.com/2020/telemedicine-startup-bright-md-raises-cash-interest-virtual-healthcare-surges/
AbCellera,5/27/2020,"$105,000,000",,B,"OrbiMed, DCVC Bio",https://www.abcellera.com/news/2020-05-27-abcellera-closes-series-b-financing
Fernish,5/27/2020,"$15,000,000",,A,"Techstars Investments, Tapas Capital, RET Ventures",https://www.geekwire.com/2020/furniture-rental-startup-fernish-raises-15m-khosla-ventures-jeff-wilke-spencer-rascoff/
DefinedCrowd,5/26/2020,"$50,500,000","$63,600,000",B,,https://www.geekwire.com/2020/seattle-startup-definedcrowd-lands-50m-help-mastercard-bmw-others-improve-ai-services/
React Mobile,5/26/2020,"$6,000,000","$10,400,000",,Brady Corporation,https://www.geekwire.com/2020/publicly-traded-manufacturer-brady-corporation-seattle-startup-react-mobile/
MDMetrix,5/25/2020,"$1,100,000","$5,000,000",,Vulcan Capital,https://www.geekwire.com/2020/seattle-startup-just-raised-1-1m-vulcan-others-help-hospitals-care-covid-19-patients/
Venture Out,5/22/2020,"$700,000",,,M12,https://www.geekwire.com/2020/microsofts-vc-arm-invests-seattle-program-helps-corporate-workers-launch-tech-startups/
Nautilus Biotechnology,5/21/2020,"$76,000,000","$100,000,000",B,Vulcan Capital,https://www.geekwire.com/2020/investment-arms-jeff-bezos-paul-allen-join-76m-round-secretive-biotech-startup-led-isilon-co-founder-stanford-professor/
ARTMS,5/20/2020,"$19,000,000",,A,Deerfield Management Company,https://www.prnewswire.com/news-releases/artms-closes-a-us19-million-series-a-financing-with-deerfield-and-global-health-sciences-ghs-fund-301062255.html
Solius,5/13/2020,,"$18,000,000",,Human Longevity Inc.,https://www.geekwire.com/2020/link-coronavirus-vitamin-d-deficiency-startup-just-raised-cash-find/
Ziva Dynamics,5/12/2020,"$7,000,000",,Seed,"Grishin Robotics, Toyota AI Ventures, Millennium Technology Value Partners’ New Horizons Fund",https://www.businesswire.com/news/home/20200512005126/en/Ziva-Dynamics-Raises-7M-Seed-Bring-Lifelike
OncoSenX,5/11/2020,,"$4,100,000",,,https://www.geekwire.com/2020/seattle-biotech-startup-oncosenx-raising-cash-cancer-fighting-therapies/
Tripgrid,5/5/2020,"$1,900,000",,,,https://www.sec.gov/Archives/edgar/data/1810451/000181045120000001/xslFormDX01/primary_doc.xml
S!NG,5/4/2020,"$265,000",,,,https://www.geekwire.com/2020/seattle-startup-raises-cash-helps-musicians-photographers-share-intellectual-property/
Imperative,4/28/2020,"$3,000,000","$5,000,000",Seed,Voyager Capital,https://www.geekwire.com/2020/imperative-raises-3m-virtual-peer-coaching-platform-help-executives-manage-remote-teams/
Qorus,4/28/2020,"$5,000,000","$12,500,000",,WestRiver Group,https://www.geekwire.com/2020/seattle-area-sales-enablement-startup-qorus-raises-5m/
Avalyn Pharma,4/27/2020,"$35,500,000",,B,Norwest Venture Partners,https://www.businesswire.com/news/home/20200427005818/en/Avalyn-Pharma-Secures-35.5-Million-Series-Financing
Form,4/22/2020,"$8,500,000",,A,,https://www.geekwire.com/2020/augmented-reality-swimming-goggles-maker-form-raises-8-5m/
Buurst,4/14/2020,"$5,000,000","$35,000,000",,,https://www.geekwire.com/2020/softnas-changes-name-buurst-raises-5m-help-companies-manage-cloud-data/
Blaze Bioscience,4/8/2020,"$5,000,000","$60,000,000",,,https://www.geekwire.com/2020/blaze-bioscience-gets-fast-track-approval-fda-tumor-paint-helps-remove-brain-tumors/
Shiftboard,4/8/2020,"$8,000,000","$19,500,000",,,https://www.geekwire.com/2020/shiftboard-merges-schedulepro-offer-robust-workforce-scheduling-software/
Asensys,4/7/2020,"$2,700,000",,Angel,,https://www.geekwire.com/2020/quest-better-blockchain-former-microsoft-ai-chief-invests-seattle-startup-asensys/
Jenny Life,4/2/2020,"$3,500,000","$5,000,000",A,CMFG Ventures,https://www.geekwire.com/2020/life-insurance-startup-jenny-life-raises-3-5m-sees-huge-engagement-spike-due-covid-19/
OfferUp,3/25/2020,"$120,000,000","$380,000,000",,OLX Group,https://www.geekwire.com/2020/offerup-raises-120m-will-acquire-rival-letgo-olx-group-40-combined-entity/
Textio,3/19/2020,"$12,000,000","$41,500,000",,,https://www.geekwire.com/2020/textio-raises-12m-seattle-startup-looks-reach-job-candidates-writing-technology/
SunSpear Games,3/19/2020,"$650,000",,,,https://www.sec.gov/Archives/edgar/data/1807179/000180717920000001/xslFormDX01/primary_doc.xml
WELL Health,3/13/2020,"$7,100,000",,,,https://betakit.com/today-in-funding-policyme-version-one-well-health-coldblock/
Certn,3/12/2020,"$4,500,000",,Seed,Tribe Capital,https://betakit.com/today-in-funding-gradeslam-paper-certn-relay-platform/
Ride Report,3/12/2020,"$10,000,000","$13,400,000",A,Unusual Ventures,https://www.geekwire.com/2020/ride-report-raises-10m-help-cities-manage-data-shared-scooters-bikes/
Checkfront,3/9/2020,"$6,650,000","$7,600,000",A,Framework Venture Partners,https://betakit.com/booking-management-platform-checkfront-closes-9-3-million-series-a/
Reserved.AI,3/4/2020,"$3,300,000",,,"Amplify Partners, Pioneer Square Labs",https://www.geekwire.com/2020/ex-aws-azure-employees-raise-3-3m-seattle-startup-helps-companies-save-cloud-costs/
Lucent BioSciences,3/3/2020,"$2,100,000",,,Protein Industries Canada,https://soileos.com/lucent-biosciences-raises-2-9m-to-bring-plant-based-smart-fertilizer-to-market/
Cuboh,2/27/2020,"$1,200,000",,Seed,,https://www.restaurantdive.com/press-release/20200227-cuboh-secures-16-million-cad-in-seed-financing-round/
PayRange,2/25/2020,"$70,000,000",,,,https://www.businesswire.com/news/home/20200225005102/en/Million-Laundry-Vending-Machines-Upgraded-Accept-Mobile
Supercast,2/25/2020,"$2,000,000",,Seed,,https://www.geekwire.com/2020/supercast-raises-2m-help-podcasters-make-money-names-new-ceo/
Big Network,2/25/2020,"$750,000",,,,https://www.sec.gov/Archives/edgar/data/1804164/000180416420000001/xslFormDX01/primary_doc.xml
Boost,2/25/2020,"$1,000,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1803964/000180396420000001/xslFormDX01/primary_doc.xml
Househappy,2/24/2020,"$3,100,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1541497/000154149720000001/xslFormDX01/primary_doc.xml
Selkirk Pharma,2/24/2020,"$9,000,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1732446/000173244620000002/xslFormDX01/primary_doc.xml
AVM Biotechnology,2/21/2020,"$2,500,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1463741/000146374120000001/xslFormDX01/primary_doc.xml
Inpria,2/20/2020,"$31,000,000",,C,JSR Micro,https://www.inpria.com/news/euv-photoresist-pioneer-inpria-raises-31-million-in-series-c-funding-led-by-jsr-corporation/
The Wild,2/18/2020,"$1,500,000",,Seed,Portland Seed Fund,https://www.sec.gov/Archives/edgar/data/1731754/000173175420000001/xslFormDX01/primary_doc.xml
PharmID,2/18/2020,"$5,000,000",,Seed,,https://www.sec.gov/Archives/edgar/data/1719289/000171928920000002/xslFormDX01/primary_doc.xml
Peach,2/17/2020,"$5,000,000","$15,750,000",,,https://www.geekwire.com/2020/office-lunch-delivery-startup-peach-raises-5m-heres-startup-bounced-back-layoffs/
n2uitive,2/14/2020,"$1,300,000",,Seed,Cascade Seed Fund,https://www.geekwire.com/2020/seattle-insurance-tech-startup-n2uitive-raises-1-3m/
SmartStory,2/11/2020,"$3,860,000",,,,https://www.sec.gov/Archives/edgar/data/1591383/000159138320000002/xslFormDX01/primary_doc.xml
Docugami,2/11/2020,"$10,000,000",,Seed,SingalFire,https://www.geekwire.com/2020/ai-document-engineering-startup-docugami-raises-10m-seed-round-unusually-large-early-stage-deal/
PypeServer,2/11/2020,"$1,500,000",,Seed,Ferguson Ventures,https://www.geekwire.com/2020/pipe-cutting-software-maker-pypeserver-raises-1-5m-streamline-industrial-manufacturing/
Cardiac Insight,2/11/2020,"$8,000,000",,D,SeaChange Fund,https://www.geekwire.com/2020/cardiac-insight-raises-8m-sales-wearable-heartbeat-sensor-spike-100/
Twistle,2/7/2020,"$18,200,000",,,,https://www.sec.gov/Archives/edgar/data/1509320/000150932020000001/xslFormDX01/primary_doc.xml
Acuva,2/6/2020,"$5,400,000",,,,https://www.newswire.ca/news-releases/acuva-technologies-inc-closes-an-oversubscribed-5-4-million-growth-financing-to-meet-global-demand-for-its-proprietary-uv-led-drinking-water-systems-805633619.html
Freightweb,2/4/2020,"$3,000,000",,Seed,"Madrona Venture Group, 8VC",https://www.geekwire.com/2020/ex-amazon-fedex-leaders-raise-3m-madrona-8vc-seattle-trucking-startup-freightweb/
Kaskada,2/4/2020,"$8,000,000","$9,800,000",A,,https://www.geekwire.com/2020/ex-google-cloud-engineers-raise-8m-seattle-machine-learning-startup-kaskada/
i2 Holdings,2/4/2020,"$500,000",,,,https://www.geekwire.com/2020/element-data-co-founder-leads-new-holding-company-customer-loyalty-marketing-technology/
OddJobbers,2/3/2020,"$310,000","$360,000",,,https://www.sec.gov/Archives/edgar/data/1801555/000180155520000001/xslFormDX01/primary_doc.xml
