Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
PulseLabs,,"$2,500,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2018/pulse-labs-raises-2-5m-madrona-jeff-bezos-techstars-voice-app-testing-platform/
SheerID,,"$18,000,000","$29,600,000",B,Centana Venture Partners,https://www.geekwire.com/2018/sheerid-raises-18m-series-b-round-build-verification-layer-cloud-services/
Integris Software,,"$1,500,000","$4,500,000",,"Madrona Venture Group, Amplify Partners",https://www.geekwire.com/2018/integris-raises-another-1-5m-data-privacy-intelligence-platform-gdpr-deadline-looms/
NurseGrid,,"$5,700,000","$9,300,000",,Hatteras Venture Partners,https://www.geekwire.com/2018/nursegrid-raises-5-7m-scheduling-staffing-tech-platform-nurses/
Usermind,,"$23,500,000","$45,600,000",C,Northgate Capital,https://www.geekwire.com/2018/seattles-usermind-raises-23-5m-demand-marketing-tech-grows/
JetClosing ,,"$800,000","$5,200,000",,"Trilogy Equity Partners, Pioneer Square Labs",https://www.geekwire.com/2018/jetclosing-raises-cash-expand-mobile-first-real-estate-closing-platform/
DataCloud,,"$8,000,000","$9,300,000",,,https://www.geekwire.com/2018/drill-baby-drill-seattles-datacloud-raises-8m-cloud-based-mining-software/
Stratos Genomics,,"$20,000,000","$50,000,000",,Fisk Ventures,https://www.geekwire.com/2018/stratos-genomics-raises-20m-commercialize-fast-dna-sequencing-technology/
Immusoft,,"$3,000,000",,B,,https://www.geekwire.com/2018/gene-therapy-startup-immusoft-raises-3m-appoints-new-ceo-approaches-clinical-trials/
Critical Informatics,,"$1,100,000","$4,000,000",,East Seattle Partners,https://www.geekwire.com/2018/critical-informatics-raises-1-1m-expand-cybersecurity-platform-blends-human-expertise-software/
Wiserg,,"$19,200,000",,,,https://www.geekwire.com/2018/former-microsoft-amazon-exec-brian-valentine-takes-helm-wiserg-raises-19-2m-startup-turns-food-scraps-fertilizer/
Bioform Technologies,,,,,,
Climate Vault Solutions,,,,,,
AstrumU,,"$3,000,000",,,"Ignition Partners, Correlation Ventures",https://www.geekwire.com/2018/seattle-startup-vet-raises-cash-stealthy-astrumu-looks-bring-efficiency-higher-education-machine-learning/
Icertis,,"$50,000,000","$100,000,000",D,Meritech Capital Partners,https://www.geekwire.com/2018/icertis-raises-50m-series-d-funding-become-salesforce-contract-management/
SEEVA,,"$2,000,000",,,,https://www.geekwire.com/2018/seeva-raises-2m-hires-former-toyota-exec-help-self-driving-cars-navigate-tricky-weather/
CalmWave,11/15/2022,"$4,000,000",,Seed,Bonfire Ventures,https://www.geekwire.com/2022/new-spinout-from-ai2-lands-4m-to-quell-icu-alarms-and-make-the-hospital-a-quieter-place/
Abett,11/9/2022,"$6,500,000","$12,100,000",,GreatPoint Ventures,https://www.geekwire.com/2022/healthcare-analytics-startup-founded-by-early-amazon-employee-lands-6-5m/
LeadScorz,11/2/2022,"$5,600,000","$8,150,000",Series A,,https://www.geekwire.com/2022/leadscorz-which-uses-ai-to-analyze-sales-leads-lands-5-6m/
3NUM,11/2/2022,,,Pre-seed,,https://www.geekwire.com/2022/seattle-area-startup-developing-web3-mobile-numbers-that-mint-as-nfts-raises-cash/
Metrist,11/1/2022,"$5,500,000",,Seed,,https://www.geekwire.com/2022/portland-startup-raises-5-5-for-tech-that-monitors-reliability-of-cloud-products/
GoodShip,10/31/2022,"$2,400,000",,,Fuse,https://www.geekwire.com/2022/another-logistics-startup-emerges-in-seattle-convoy-vets-land-2-4m-to-tackle-trucking-analytics/
Hippo Technologies ,10/29/2022,,"$3,700,000",Seed,Ochsner Health,https://www.geekwire.com/2022/virtual-care-startup-aiming-to-improve-rural-health-via-headsets-raises-cash/
Gabbi ,10/28/2022,"$4,400,000",,,Bread and Butter Ventures,https://www.geekwire.com/2022/health-startup-gabbi-lands-4-4m-to-help-women-assess-breast-cancer-risk-and-take-action/
Reclaim,10/27/2022,"$3,200,000","$9,500,000",,,https://www.geekwire.com/2022/reclaim-a-calendar-software-startup-that-creates-schedules-for-teams-raises-more-cash/
Center,10/26/2022,"$15,000,000",,,,https://www.geekwire.com/2022/expense-management-startup-center-lands-15m-adds-clear-co-founder-to-board/
Needl,10/26/2022,"$2,500,000",,,,https://www.geekwire.com/2022/needl-a-yc-startup-based-in-seattle-raises-2-5m-to-build-a-search-bar-for-your-entire-life/
Rock Paper Coin,10/25/2022,"$2,300,000","$4,800,000",,Elevate Capital,https://www.geekwire.com/2022/portland-fintech-startup-that-targets-wedding-industry-lands-2-3m/
Jigx,10/24/2022,,"$9,000,000",,,https://www.geekwire.com/2022/ex-nike-coo-invests-in-seattle-area-startup-led-by-k2-vets-that-helps-companies-build-mobile-apps/
Lithos,10/20/2022,"$6,290,000",,Seed,Union Square Ventures and Greylock Partners,https://www.geekwire.com/2022/carbon-removal-company-lithos-lands-6-3m-for-ag-focused-climate-tech/
Veeve,10/13/2022,"$6,700,000","$9,000,000",,Foothill Ventures and Creative Ventures,https://www.geekwire.com/2022/smart-shopping-cart-maker-veeve-adds-6-7m-to-its-basket-to-reach-more-grocery-stores/
Deako Lighting,10/11/2022,"$13,400,000","$49,700,000",,,https://www.geekwire.com/2022/seattle-startup-deako-lands-13-4m-to-sell-more-smart-light-switch-tech/
Eclypsium,10/4/2022,"$25,000,000","$50,000,000",Series B,Ten Eleven Ventures,https://www.geekwire.com/2022/eclypsium-a-portland-security-startup-that-protects-device-supply-chains-raises-25m/
Xembly,10/4/2022,"$15,000,000","$20,000,000",Series A,Norwest Venture Partners,https://www.geekwire.com/2022/seattle-startup-xembly-raises-15m-for-ai-chief-of-staff-that-automates-tedious-conversational-tasks/
BrightCanary,11/10/2022,"$4,000,000",,Seed,Trilogy Equity Partners,https://www.geekwire.com/2022/seattle-startup-that-helps-parents-figure-out-what-their-kids-are-doing-online-lands-cash/
Spiral,11/11/2022,"$1,250,000",,,,https://www.geekwire.com/2022/spiral-a-seattle-startup-that-analyzes-customer-feedback-raises-1-25m/
DexCare,6/21/2023,"$75,000,000","$146,000,000",Series C,Iconiq Growth,https://www.geekwire.com/2023/patient-appointment-booking-platform-dexcare-lands-75m-in-one-of-the-years-largest-deals/
Outbound AI,6/21/2023,"$16,000,000","$23,000,000",Series A,Madrona Venture Group and SpringRock Ventures,https://www.geekwire.com/2023/healthcare-billing-and-claims-automation-startup-outbound-ai-raises-16m/
Picket,6/20/2023,"$20,000,000",,Series B,LL Funds,https://www.geekwire.com/2023/real-estate-investment-and-property-management-platform-picket-lands-20m/
Humanly,6/15/2023,"$12,000,000","$18,000,000",Series A,Drive Capital,https://www.geekwire.com/2023/recruiting-automation-startup-humanly-lands-12m-as-it-doubles-down-on-ai/
Meetingflow,6/15/2023,"$760,000","$4,000,000",, PSL Ventures,https://www.geekwire.com/2023/ai2-incubator-spinout-pivots-raises-cash-to-help-make-sales-meetings-more-effective/
Worknet,6/13/2023,"$5,000,000",,seed and pre-seed,Act One Ventures and Founders’ Co-Op,https://www.geekwire.com/2023/after-selling-last-startup-to-zoominfo-sap-and-microsoft-vet-raises-5m-for-new-seattle-company/
